record_num,ground_truth,consensus_correct,trend_trust,pattern_trust,anomaly_trust
0,False,True,1.0,1.0,1.0
1,True,True,1.0,0.9750000000000001,1.0
2,True,True,1.0,0.9441666666666667,1.0
3,True,True,1.0,0.92475,1.0
4,True,True,1.0,0.912275,1.0
5,True,True,1.0,0.8960474999999999,1.0
6,False,True,0.9928571428571429,0.8850141785714285,1.0
7,False,True,0.9873214285714286,0.8777627607142857,1.0
8,False,True,0.9830337301587302,0.8733198179761905,1.0
9,False,True,0.9797303571428572,0.8709878361785715,1.0
10,True,False,0.9726664123376624,0.8657072343788961,1.0
11,False,True,0.9628997711038961,0.8624698442743398,1.0
12,True,True,0.955071332455045,0.8569920906161367,1.0
13,False,False,0.9452784849238263,0.8498643101259515,1.0
14,True,True,0.9374173030981103,0.8448778791133564,1.0
15,True,True,0.9311755727882993,0.8385150912020208,1.0
16,False,True,0.9233521331565283,0.8340753467877011,1.0
17,False,True,0.9171280309519866,0.8312233676644867,1.0
18,True,True,0.9122573331199458,0.8270483993190907,1.0
19,False,True,0.9060315998079512,0.8243435593871817,1.0
20,False,True,0.9011427255414418,0.8228615844008446,1.0
21,False,True,0.897392089350934,0.8223936077789419,1.0
22,False,True,0.8946094021549711,0.8227629426532216,1.0
23,False,True,0.892648461939474,0.8238199817212328,1.0
24,False,True,0.8913836157455266,0.8254379835491097,1.0
25,False,True,0.8907067926325124,0.8275095698095833,1.0
26,False,True,0.8905250022581501,0.8299437980138102,1.0
27,False,True,0.8907582163180494,0.832663703926715,1.0
28,False,True,0.8913375671000376,0.8356042300857676,1.0
29,True,True,0.8922038103900338,0.8387104737438575,1.0
30,False,True,0.8933060099961918,0.8419362005630202,1.0
31,False,True,0.8946004089965727,0.8452425805067182,1.0
32,False,True,0.8960494590060064,0.8485971103348343,1.0
33,False,True,0.8976209836936411,0.851972693418998,1.0
34,False,True,0.8992874567528484,0.8553468526485268,1.0
35,False,True,0.9010253777442302,0.8587010562725631,1.0
36,False,True,0.902814731861699,0.862020139834496,1.0
37,True,True,0.9046385218334239,0.8652918100615727,1.0
38,False,True,0.9052003106757225,0.8685062187990052,1.0
39,False,True,0.9059302796081503,0.8716555969191047,1.0
40,False,True,0.9068006662814816,0.8747339396662186,1.0
41,True,True,0.9077872663200002,0.8765462599853111,1.0
42,False,True,0.9077062141066048,0.8784265177077102,1.0
43,False,True,0.9078446836050352,0.8803565932096664,1.0
